strain	date	genbank	region	country	division	location	host_type	genotype	host	source	latitude	longitude	authors
MN244555|TrinidadandTobago|TrinidadandTobago|2014-01-03	2014-01-03	MN244555	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244556|TrinidadandTobago|TrinidadandTobago|2014-01-06	2014-01-06	MN244556	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244557|TrinidadandTobago|TrinidadandTobago|2011	2011	MN244557	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244558|TrinidadandTobago|TrinidadandTobago|2011	2011	MN244558	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244559|TrinidadandTobago|TrinidadandTobago|2011	2011	MN244559	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244560|TrinidadandTobago|TrinidadandTobago|2011	2011	MN244560	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244561|TrinidadandTobago|TrinidadandTobago|2012	2012	MN244561	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244562|TrinidadandTobago|TrinidadandTobago|2012	2012	MN244562	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244563|TrinidadandTobago|TrinidadandTobago|2012	2012	MN244563	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244564|TrinidadandTobago|TrinidadandTobago|2013	2013	MN244564	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244565|TrinidadandTobago|TrinidadandTobago|2013	2013	MN244565	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
MN244566|TrinidadandTobago|TrinidadandTobago|2013-09-26	2013-09-26	MN244566	International	Trinidad and Tobago	International	International	Human	V	Homo sapiens	NCBI	10.7466905	-61.0840075	Allicock,O.M., Sahadeo,N., Lemey,P., Auguste,A.J., Suchard,M.A., Rambaut,A., Carrington,C.V.F., Sahadeo,N.S.D.
OR494331|Uruguay|Uruguay_Montevideo|2016-03-04	2016-03-04	OR494331	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494333|Uruguay|Uruguay_Montevideo|2016-02-17	2016-02-17	OR494333	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494334|Uruguay|Uruguay_Montevideo|2016-02-18	2016-02-18	OR494334	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494335|Uruguay|Uruguay_Montevideo|2016-02-19	2016-02-19	OR494335	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494336|Uruguay|Uruguay_Montevideo|2016-02-19	2016-02-19	OR494336	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494339|Uruguay|Uruguay_Montevideo|2016-02-19	2016-02-19	OR494339	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494341|Uruguay|Uruguay_Montevideo|2016-02-02	2016-02-02	OR494341	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494344|Uruguay|Uruguay_Montevideo|2023-04-13	2023-04-13	OR494344	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
OR494345|Uruguay|Uruguay_Montevideo|2023-04-12	2023-04-12	OR494345	International	Uruguay	International	International	Human	V	Homo sapiens	NCBI	-32.8755548	-56.0201525	Morel,N., Giovanetti,M., Fonseca,V., Burgueno,A., Lima,M., Castro,E., Guimaraes,N.R., Iani,F.C.M., Bormida,V., Cortinas,M.N., Ramas,V., Coppola,L., Franco,L., Rico,J.M., Alcantara,L.C.J., Chiparelli,H.
